date,twosigma,ref
201.364,0.084,Davies2017
201.498,0.028,Davies2017
201.585,0.034,Davies2017
201.111,0.071,Davies2017
201.44,0.031,Davies2017
201.493,0.051,Davies2017
201.635,0.029,Davies2017
201.364,0.023,Davies2017
201.525,0.065,Davies2017
201.612,0.046,Davies2017
201.566,0.031,Blackburn2013
201.564,0.054,Blackburn2013
201.52,0.034,Blackburn2013
201.498,0.033,Blackburn2013
201.509,0.035,Blackburn2013
201.274,0.032,Blackburn2013
201.305,0.034,Blackburn2013
200.916,0.064,Blackburn2013
201.38,0.02,Schoene2010
